award_id,cancelled_trump,title,directorate,start_date,year,state,org_name,end_date,award_amount
"=""2102404""",no,Collaborative Research: New Approaches to Narrow-Band Electrochromics,CHE,05/01/2021,2021,GA,Georgia Tech Research Corporation,09/30/2021,360000.0
"=""2123085""",no,"Coastal Sustainability: Clean, Safe, Smart, and Equitable Communities",OIA,05/01/2021,2021,MA,Northeastern University,10/31/2021,99316.0
"=""2036347""",no,STTR Phase I:Dramatically improving algorithm execution on quantum devices through advanced noise-awareness and control,TI,05/01/2021,2021,MA,"ALIRO TECHNOLOGIES, INC.",10/31/2021,255682.0
"=""2045078""",no,CAREER: Designing Quorum Sensing Modulators for Lactobacillus plantarum to Probe Interspecies and Host-Microbe Interactions,CHE,05/01/2021,2021,PA,Moravian University,08/31/2021,290339.0
"=""2032261""",no,Collaborative Research/GOALI: Fully Continuous Downstream Processing Enabled by Coupled Precipitation-Filtration Capture Operations,CBET,04/15/2021,2021,NY,Rensselaer Polytechnic Institute,08/31/2021,70052.0
"=""2126096""",no,RAPID: Texas Winter Storm,SES,04/15/2021,2021,TX,Texas Tech University,09/30/2021,86231.0
"=""2114689""",no,Manipulation and Detection of Physical Properties of Two-Dimensional Quantum Materials,DMR,04/15/2021,2021,PA,Materials Research Society,09/30/2021,10000.0
"=""2124827""",no,I-Corps: A Simulation Tool to Teach Cybersecurity and Digital Fluency,TI,04/01/2021,2021,NY,SUNY CANTON,11/30/2021,50000.0
"=""2051603""",no,SBIR Phase I:  Highly resource-efficient protein engineering using machine learning,TI,04/01/2021,2021,MA,"NABLA BIO, INC.",11/30/2021,256000.0
"=""2121124""",no,GeoConvergence Workshop,ITE,04/01/2021,2021,NY,Fund For the City of New York,07/31/2021,99300.0
"=""2043785""",no,"Aquifers, Science, and Spatial Imaginaries",BCS,04/01/2021,2021,TX,William Marsh Rice University,10/31/2021,455642.0
"=""2128705""",no,CAREER: Optogenetic Analysis of Neurovascular Coupling,CBET,04/01/2021,2021,FL,Florida Atlantic University,08/31/2021,123291.0
"=""2032177""",no,SBIR Phase I:  Regenerable Antimicrobial Paints Based on Hydrogen Peroxide,TI,04/01/2021,2021,FL,"Quick-Med Technologies, In",09/30/2021,255999.0
"=""2118915""",no,Old Dominion University/Synthetic Conducting Cable for Trace Metal-clean Sampling Winch SSSE,OCE,04/01/2021,2021,VA,Old Dominion University Research Foundation,12/31/2021,180320.0
"=""2043614""",no,Doctoral Dissertation Research: Soil Frontiers: Exploring the Culture and Politics of Soil Microbiology Research,SES,04/01/2021,2021,NY,New York University,12/31/2021,15750.0
"=""2128781""",no,Collaborative Research: The Transition from Rifting to Seafloor Spreading at the Western Tip of the Cocos-Nazca Rift,OCE,04/01/2021,2021,CA,University of California-San Diego Scripps Inst of Oceanography,08/31/2021,26093.0
"=""2052113""",no,SBIR Phase I:  Feasibility of Dynamic Configurable Liquid Molding,TI,04/01/2021,2021,KY,"Hummingbird Nano, Inc.",11/30/2021,256000.0
"=""2035423""",no,SBIR Phase I:  Decentralized Internet Access Management System with Post-Quantum Security,TI,04/01/2021,2021,NY,Max Powers,12/31/2021,275886.0
"=""2124834""",no,Workshop on Quantum Engineering Infrastructure. To Be Held Virtual In April 2021.,ECCS,04/01/2021,2021,MN,University of Minnesota-Twin Cities,09/30/2021,18389.0
"=""2049765""",no,Collaborative Research: Honest and Robust Inference with High Dimensional Data,SES,04/01/2021,2021,CT,Yale University,08/31/2021,194000.0
"=""2125017""",no,Kickstarting Advances in Assistive and Rehabilitative Technologies,OIA,04/01/2021,2021,GA,Georgia Tech Research Corporation,09/30/2021,118904.0
"=""2117998""",no,EAGER: Towards DNA-based Tools for Single-particle Cryo-electron Microscopy of Membrane Proteins,MCB,04/01/2021,2021,OH,Kent State University,09/30/2021,86444.0
"=""2120091""",no,Collaborative: Smart Health in the AI and COVID Era,IIS,03/15/2021,2021,AZ,University of Arizona,08/31/2021,30000.0
"=""2131903""",no,TWC: Large: Collaborative: The Science and Applications of Crypto-Currency,CNS,03/15/2021,2021,PA,Carnegie Mellon University,06/30/2021,25592.0
"=""2043832""",no,"Doctoral Dissertation Research: Starting-up with the State: Computing, Entrepreneurship, and Governance",SES,03/15/2021,2021,NY,New York University,10/31/2021,15750.0
"=""2046034""",no,CAREER: Adaptive Communications and Trajectory Design for UAV-assisted Wireless Networks: a Multi-Scale Decision Framework,CNS,03/15/2021,2021,IN,Purdue University,06/30/2021,94125.0
"=""2120516""",no,I-Corps:  An Intelligent Re-Design Recommender System for Additive and Hybrid Manufacturing,TI,03/15/2021,2021,NY,SUNY at Buffalo,08/31/2021,0.0
"=""2120217""",no,Collaborative: Smart Health in the AI and COVID Era,IIS,03/15/2021,2021,AZ,Northern Arizona University,08/31/2021,19927.0
"=""2046538""",no,CAREER: Advancing Network Configuration and Runtime Adaptation Methods for Industrial Wireless Sensor-Actuator Networks,CNS,03/15/2021,2021,NY,SUNY at Binghamton,10/31/2021,98078.0
"=""2044841""",no,"CAREER: Memory-Efficient, Heterogeneity-Aware and Robust Architecture for Federated Intelligence on Edge Devices",CNS,03/01/2021,2021,VA,Old Dominion University Research Foundation,10/31/2021,181584.0
