award_id,cancelled_trump,title,directorate,start_date,state,org_name,end_date,year,award_amount
"=""1945938""",yes,Implementing Effective Data Practices,OAC,09/01/2019,CA,"University of California, Office of the President, Oakland",08/31/2020,2020,49531.0
"=""1926878""",yes,Collaborative Research: A New Baseline for Antarctic Blue and Fin Whales,OPP,09/01/2019,AZ,Northern Arizona University,09/30/2019,2019,142954.0
"=""2002709""",yes,"Derived Categories, Hodge Theory, and Birational Geometry",DMS,09/01/2019,NJ,Institute For Advanced Study,01/31/2021,2021,65007.0
"=""1936049""",yes,CS4GA Summit/Workshop for K12 Implementation,CNS,09/01/2019,GA,Georgia Department of Education,08/31/2020,2020,49964.0
"=""1941699""",yes,Aleutian - Alaska Workshop at Lamont for GeoPrisms Synthesis,OCE,09/01/2019,NY,Columbia University,02/29/2020,2020,14064.0
"=""1952439""",yes,EAGER: Assessment of Coupled Hydraulic Fracturing Fluid Mass Transfer and Biodegradation in Shallow Aquifer Systems,CBET,09/01/2019,AL,Auburn University,11/30/2020,2020,54595.0
"=""1919139""",yes,Doctoral Dissertation Research in Economics: Do Identity Concerns Affect Labor Supply?,SES,09/01/2019,NY,Columbia University,08/31/2020,2020,28000.0
"=""1917359""",yes,"Collaborative Research: Research in Improving Computational Thinking in the Formation of Engineers, a Multi-Institutional Initiative.",EEC,09/01/2019,TX,Texas A&M Engineering Experiment Station,10/31/2019,2019,349266.0
"=""1933397""",yes,"2020 Biomedical Engineering Society (BMES) - Cellular and Molecular Bioengineering (CMBE) Conference; Rio Grande, Puerto Rico; January 2-6, 2020",CMMI,09/01/2019,NY,Biomedical Engineering Society,08/31/2020,2020,20000.0
"=""2012766""",yes,Planning Grant: Engineering Research Center for In-Situ Control of the Nitrogen Cycle (In-SINC),EEC,08/31/2019,TX,Texas Tech University,08/31/2020,2020,41587.0
"=""2019967""",yes,"CAREER: Microscopy Image Analysis to Aid Biological Discovery: Optics, Algorithms, and Community",IIS,08/31/2019,NY,SUNY at Stony Brook,09/30/2020,2020,260075.0
"=""2010736""",yes,CRII: RI: Energy Effective and Versatile Bipedal Robots Using Event-Based Switching Between Parameterized Steady-State Controllers,IIS,08/16/2019,IL,University of Illinois at Chicago,08/31/2020,2020,44095.0
"=""1933334""",yes,"2019 US-EU Workshop on 2D Materials. To Be Held In State College PA,   May 9-10, 2019.",ECCS,08/15/2019,PA,Pennsylvania State Univ University Park,07/31/2020,2020,25017.0
"=""2003052""",yes,Collaborative Research:  SG:  Exploring the effects of UV light on floral pigmentation,DEB,08/15/2019,SC,Clemson University,03/31/2020,2020,7109.0
"=""1940870""",yes,I-Corps: Meta-material Impact Protection Units,TI,08/15/2019,MO,Missouri University of Science and Technology,01/31/2021,2021,50000.0
"=""1934522""",yes,RAPID: Risk perception and health-related knowledge and practice,SES,08/15/2019,UT,University of Utah,07/31/2020,2020,21579.0
"=""1940540""",yes,Solid State and Materials Chemistry Workshop:  Hybrids and Interfaces,DMR,08/15/2019,SC,University of South Carolina at Columbia,07/31/2020,2020,49999.0
"=""1908880""",yes,Recovering Signals Sparse in a Frame: Theory and Applications,DMS,08/15/2019,NM,New Mexico State University,09/30/2020,2020,123544.0
"=""1934240""",yes,NSF Student Travel Grant for 2019 International Semantic Web Conference (ISWC 2019),IIS,08/15/2019,NY,Rensselaer Polytechnic Institute,07/31/2020,2020,20000.0
"=""1936603""",yes,NSF Student Travel Grant for The 25th International Conference on DNA Computing and Molecular Programming 2019 (DNA 25),CCF,08/15/2019,WA,University of Washington,07/31/2020,2020,10000.0
"=""1900434""",yes,Collaborative Research: Microlocal Concentration and Propagation in Spectral Theory,DMS,08/15/2019,MA,Northeastern University,01/31/2020,2020,32194.0
"=""1918244""",yes,Doctoral Dissertation Research: The role of animacy and obviation in the processing of Ojibwe relative clauses,BCS,08/15/2019,MA,University of Massachusetts Amherst,01/31/2021,2021,15079.0
"=""1911643""",yes,SBP: Creating cultures of growth: An organizational mindset approach to reducing social identity threat among women in STEM,SMA,08/15/2019,OH,"Reeves, Stephanie Lauren",11/30/2020,2020,82500.0
"=""1935075""",yes,"Workshop on Information and Decision Sciences, To Be Held MIT Campus, Cambridge, MA, November 1-2, 2019.",ECCS,08/15/2019,MA,Massachusetts Institute of Technology,07/31/2020,2020,30000.0
"=""1940042""",yes,I-Corps: Power Reduction for AI Computing,TI,08/15/2019,CA,University of California-Berkeley,08/31/2020,2020,50000.0
"=""1939894""",yes,"I-Corps: Scalable, Highly Efficient Power-generating Windows: the Future of Urban Buildings",TI,08/15/2019,CA,California Institute of Technology,07/31/2020,2020,50000.0
"=""1942074""",yes,NSF Student Travel Grant for 2019 Midwest Programming Languages Summit (MWPLS),CCF,08/15/2019,IN,Purdue University,01/31/2020,2020,5000.0
